NAMESPACE              NAME                                                              READY   STATUS      RESTARTS   AGE     IP               NODE    NOMINATED NODE   READINESS GATES
rook-ceph              rook-ceph-mon-c-766648695c-jjbmk                                  1/1     Running     0          72m     10.244.104.6     node2   <none>           <none>
rook-ceph              rook-ceph-operator-6d9ff558f-kcphw                                1/1     Running     0          75m     10.244.104.1     node2   <none>           <none>
rook-ceph              rook-ceph-osd-0-65878f4c9-vzlpg                                   1/1     Running     0          71m     10.244.166.139   node1   <none>           <none>
rook-ceph              rook-ceph-osd-1-7b577c57d5-5b8nz                                  1/1     Running     1          71m     10.244.135.8     node3   <none>           <none>
rook-ceph              rook-ceph-osd-2-5489866fcd-m496w                                  1/1     Running     0          71m     10.244.104.9     node2   <none>           <none>
rook-ceph              rook-ceph-osd-prepare-node1-nr922                                 0/1     Completed   0          70m     10.244.166.140   node1   <none>           <none>
rook-ceph              rook-ceph-osd-prepare-node2-pqxhz                                 0/1     Completed   0          70m     10.244.104.10    node2   <none>           <none>
rook-ceph              rook-ceph-osd-prepare-node3-2bvq8                                 0/1     Completed   0          70m     10.244.135.10    node3   <none>           <none>
rook-ceph              rook-ceph-rgw-object-store-a-78f67ff75d-5mrfv                     1/1     Running     0          70m     10.244.166.141   node1   <none>           <none>
rook-ceph              rook-ceph-tools-5577fb96fd-222fw                                  1/1     Running     0          71m     10.244.135.7     node3   <none>           <none>
